r 3006, joined: nan, trans: NaT
r 3008, joined: nan, trans: NaT
r 3009, joined: nan, trans: NaT
r 3010, joined: nan, trans: NaT
r 3011, joined: nan, trans: NaT
r 3012, joined: nan, trans: NaT
r 3013, joined: nan, trans: NaT
r 3014, joined: nan, trans: NaT
r 3015, joined: nan, trans: NaT
r 3016, joined: nan, trans: NaT
r 3017, joined: nan, trans: NaT
r 3018, joined: nan, trans: NaT
r 3019, joined: nan, trans: NaT
r 3020, joined: nan, trans: NaT
r 3021, joined: nan, trans: NaT
r 3022, joined: nan, trans: NaT
r 3023, joined: nan, trans: NaT
r 3024, joined: nan, trans: NaT
r 3025, joined: nan, trans: NaT
r 3026, joined: nan, trans: NaT
r 3027, joined: nan, trans: NaT
r 3028, joined: nan, trans: NaT
r 3029, joined: nan, trans: NaT
r 3030, joined: nan, trans: NaT
r 3031, joined: nan, trans: NaT
r 3032, joined: nan, trans: NaT
r 3033, joined: nan, trans: NaT
r 3034, joined: nan, trans: NaT
r 3035, joined: nan, trans: NaT
r 3036, joined: nan, trans: NaT
r 3037, joined: nan, trans: NaT
r 3038, joined: nan, trans: NaT
r 3039, joined: nan, trans: NaT
r 3040, joined: nan, trans: NaT
r 3041, joined: nan, trans: NaT
r 3042, joined: nan, trans: NaT
r 3289, joined: nan, trans: NaT
r 3290, joined: nan, trans: NaT
r 3291, joined: nan, trans: NaT
r 3292, joined: nan, trans: NaT
r 3330, joined: nan, trans: NaT
r 3335, joined: nan, trans: NaT
r 3343, joined: nan, trans: NaT
r 3352, joined: nan, trans: NaT
r 3360, joined: nan, trans: NaT
r 3382, joined: nan, trans: NaT
r 3383, joined: nan, trans: NaT
r 3384, joined: nan, trans: NaT
r 3385, joined: nan, trans: NaT
r 3386, joined: nan, trans: NaT
r 3387, joined: nan, trans: NaT
r 3451, joined: nan, trans: NaT
r 3452, joined: nan, trans: NaT
r 3453, joined: nan, trans: NaT
r 3454, joined: nan, trans: NaT
r 3455, joined: nan, trans: NaT
r 3456, joined: nan, trans: NaT
r 3457, joined: nan, trans: NaT
r 3494, joined: nan, trans: NaT
r 3495, joined: nan, trans: NaT
r 3496, joined: nan, trans: NaT
r 3497, joined: nan, trans: NaT
r 3498, joined: nan, trans: NaT
r 3511, joined: nan, trans: NaT
r 3512, joined: nan, trans: NaT
r 3558, joined: nan, trans: NaT
r 3559, joined: nan, trans: NaT
r 3560, joined: nan, trans: NaT
r 3561, joined: nan, trans: NaT
r 3562, joined: nan, trans: NaT
r 3672, joined: nan, trans: NaT
r 3673, joined: nan, trans: NaT
r 3674, joined: nan, trans: NaT
r 3675, joined: nan, trans: NaT
r 3703, joined: nan, trans: NaT
r 3704, joined: nan, trans: NaT
r 3705, joined: nan, trans: NaT
r 3706, joined: nan, trans: NaT
r 3707, joined: nan, trans: NaT
r 3708, joined: nan, trans: NaT
r 3709, joined: nan, trans: NaT
r 3710, joined: nan, trans: NaT
r 3711, joined: nan, trans: NaT
r 3712, joined: nan, trans: NaT
r 3713, joined: nan, trans: NaT
r 3714, joined: nan, trans: NaT
r 3715, joined: nan, trans: NaT
r 3716, joined: nan, trans: NaT
r 3717, joined: nan, trans: NaT
r 3718, joined: nan, trans: NaT
r 3719, joined: nan, trans: NaT
r 3720, joined: nan, trans: NaT
r 3721, joined: nan, trans: NaT
r 3722, joined: nan, trans: NaT
r 3723, joined: nan, trans: NaT
r 3724, joined: nan, trans: NaT
r 3745, joined: nan, trans: NaT
r 3746, joined: nan, trans: NaT
r 3747, joined: nan, trans: NaT
r 3748, joined: nan, trans: NaT
r 3749, joined: nan, trans: NaT
r 3750, joined: nan, trans: NaT
r 3751, joined: nan, trans: NaT
r 3752, joined: nan, trans: NaT
r 3753, joined: nan, trans: NaT
r 3754, joined: nan, trans: NaT
r 3755, joined: nan, trans: NaT
r 3756, joined: nan, trans: NaT
r 3757, joined: nan, trans: NaT
r 3758, joined: nan, trans: NaT
r 3759, joined: nan, trans: NaT
r 3760, joined: nan, trans: NaT
r 3761, joined: nan, trans: NaT
r 3762, joined: nan, trans: NaT
r 3763, joined: nan, trans: NaT
r 3764, joined: nan, trans: NaT
r 3765, joined: nan, trans: NaT
r 3766, joined: nan, trans: NaT
r 3767, joined: nan, trans: NaT
r 3831, joined: nan, trans: NaT
r 3832, joined: nan, trans: NaT
r 3833, joined: nan, trans: NaT
r 3834, joined: nan, trans: NaT
r 3882, joined: nan, trans: NaT
r 3907, joined: nan, trans: NaT
r 3909, joined: nan, trans: NaT
r 3910, joined: nan, trans: NaT
r 3961, joined: nan, trans: NaT
r 3962, joined: nan, trans: NaT
r 3963, joined: nan, trans: NaT
r 3964, joined: nan, trans: NaT
r 3965, joined: nan, trans: NaT
r 3966, joined: nan, trans: NaT
r 3967, joined: nan, trans: NaT
r 3968, joined: nan, trans: NaT
r 3969, joined: nan, trans: NaT
r 3970, joined: nan, trans: NaT
r 3971, joined: nan, trans: NaT
r 3972, joined: nan, trans: NaT
r 3973, joined: nan, trans: NaT
r 3974, joined: nan, trans: NaT
r 3975, joined: nan, trans: NaT
r 3976, joined: nan, trans: NaT
r 3977, joined: nan, trans: NaT
r 3978, joined: nan, trans: NaT
r 3979, joined: nan, trans: NaT
r 3980, joined: nan, trans: NaT
r 3981, joined: nan, trans: NaT
r 3982, joined: nan, trans: NaT
r 3983, joined: nan, trans: NaT
r 3984, joined: nan, trans: NaT
r 3985, joined: nan, trans: NaT
r 3986, joined: nan, trans: NaT
r 3987, joined: nan, trans: NaT
r 3988, joined: nan, trans: NaT
r 3989, joined: nan, trans: NaT
r 3990, joined: nan, trans: NaT
r 4052, joined: nan, trans: NaT
r 4053, joined: nan, trans: NaT
r 4054, joined: nan, trans: NaT
r 4055, joined: nan, trans: NaT
r 4056, joined: nan, trans: NaT
r 4057, joined: nan, trans: NaT
r 4058, joined: nan, trans: NaT
r 4059, joined: nan, trans: NaT
r 4060, joined: nan, trans: NaT
r 4061, joined: nan, trans: NaT
r 4062, joined: nan, trans: NaT
r 4063, joined: nan, trans: NaT
r 4064, joined: nan, trans: NaT
r 4065, joined: nan, trans: NaT
r 4066, joined: nan, trans: NaT
r 4067, joined: nan, trans: NaT
r 4068, joined: nan, trans: NaT
r 4069, joined: nan, trans: NaT
r 4070, joined: nan, trans: NaT
r 4071, joined: nan, trans: NaT
r 4072, joined: nan, trans: NaT
r 4073, joined: nan, trans: NaT
r 4074, joined: nan, trans: NaT
r 4090, joined: nan, trans: NaT
r 4091, joined: nan, trans: NaT
r 4092, joined: nan, trans: NaT
r 4093, joined: nan, trans: NaT
r 4094, joined: nan, trans: NaT
r 4227, joined: nan, trans: NaT
r 4228, joined: nan, trans: NaT
r 4272, joined: nan, trans: NaT
r 4273, joined: nan, trans: NaT
r 4274, joined: nan, trans: NaT
r 4275, joined: nan, trans: NaT
r 4276, joined: nan, trans: NaT
r 4277, joined: nan, trans: NaT
r 4278, joined: nan, trans: NaT
r 4279, joined: nan, trans: NaT
r 4280, joined: nan, trans: NaT
r 4281, joined: nan, trans: NaT
r 4282, joined: nan, trans: NaT
r 4283, joined: nan, trans: NaT
r 4284, joined: nan, trans: NaT
r 4285, joined: nan, trans: NaT
r 4286, joined: nan, trans: NaT
r 4287, joined: nan, trans: NaT
r 4304, joined: nan, trans: NaT
r 4305, joined: nan, trans: NaT
r 4306, joined: nan, trans: NaT
r 4307, joined: nan, trans: NaT
r 4308, joined: nan, trans: NaT
r 4309, joined: nan, trans: NaT
r 4310, joined: nan, trans: NaT
r 4311, joined: nan, trans: NaT
r 4312, joined: nan, trans: NaT
r 4313, joined: nan, trans: NaT
r 4314, joined: nan, trans: NaT
r 4315, joined: nan, trans: NaT
r 4316, joined: nan, trans: NaT
r 4317, joined: nan, trans: NaT
r 4318, joined: nan, trans: NaT
r 4319, joined: nan, trans: NaT
r 4320, joined: nan, trans: NaT
r 4321, joined: nan, trans: NaT
r 4322, joined: nan, trans: NaT
r 4323, joined: nan, trans: NaT
r 4324, joined: nan, trans: NaT
r 4325, joined: nan, trans: NaT
r 4326, joined: nan, trans: NaT
r 4327, joined: nan, trans: NaT
r 4328, joined: nan, trans: NaT
r 4329, joined: nan, trans: NaT
r 4330, joined: nan, trans: NaT
r 4359, joined: nan, trans: NaT
r 4360, joined: nan, trans: NaT
r 4361, joined: nan, trans: NaT
